Amount,Date,Category,Type,Description
10000.0,2025-05-03,Food,Expense,Yearly storage
50000.0,2025-04-12,Salary,Income,
3500.0,2024-12-26,Health,Expense,Dental cleaning
120000.0,2024-11-25,Salary,Income,Quarterly bonus
15000.0,2024-11-24,Health,Expense,Food poisioning
40000.0,2024-11-01,Salary,Income,Salary of this month
4000.0,2024-10-24,Education,Expense,Exam fee
8500.0,2024-09-23,Family,Expense,Relative’s wedding gift
700.0,2024-08-22,Entertainment,Expense,Subscription renewal
1500.0,2024-07-21,Health,Expense,Physiotherapy session
900.0,2024-06-20,Food,Expense,Groceries
450.0,2024-05-19,Utilities,Expense,Internet bill
12000.0,2024-04-18,Travel,Expense,Weekend trip expenses
250.0,2024-03-17,Entertainment,Expense,Concert ticket
5000.0,2024-02-25,Food,Expense,Grocery and dinner
5000.0,2024-02-16,Transport,Expense,Car repair
750.0,2024-01-15,Food,Expense,Lunch at a new café
50000.0,2024-01-10,Family Event,Expense,Celebration of anniversary
18000.0,2023-12-14,Family,Expense,Gift for parents
70000.0,2023-12-01,Saving,Income,Saving of 2023
30000.0,2023-11-13,Salary,Income,Freelance project payment
2500.0,2023-10-12,Education,Expense,Online course subscription
15000.0,2023-09-11,Health,Expense,Medical check-up
2000.0,2023-08-10,Clothing,Expense,New shirt and trousers
1000.0,2023-07-09,Transport,Expense,Bus pass renewal
1500.0,2023-06-15,Food,Expense,Had a day out
3500.0,2023-06-08,Entertainment,Expense,Movie tickets and dining
800.0,2023-05-07,Food,Expense,Coffee and snacks
4500.0,2023-04-06,Utilities,Expense,Electricity bill
3000.0,2023-03-05,Education,Expense,Purchase of books
700.0,2023-02-28,Transport,Expense,Fuel cost
600.0,2023-02-04,Health,Expense,Basic medicines
2000.0,2023-01-27,Food,Expense,Dinner with friends
1200.0,2023-01-04,Transport,Expense,Cab fare for work
